RFs	Gene.ID	Regulatory.Type	RIF1_Pearson	RIF1_Spearman	RIF1_Sobolev	RIF1_Fisher	RIF2_Pearson	RIF2_Spearman	RIF2_Sobolev	RIF2_Fisher
ENSG00000204616	TRIM31	TF	-1.56	-1.7	0.43	-1	0.57	0.42	0.79	1.3
ENSG00000204644	ZFP57	TF	0.52	0.31	0.76	0.4	0.18	-0.43	0.1	-0.04
ENSG00000205683	DPF3	TF	0.26	0.79	-0.71	0.31	-1.07	0.46	0.02	-0.66
ENSG00000205927	OLIG2	TF	0.18	0.6	0.5	0.19	0.73	0.48	0.77	1.02
ENSG00000212993	POU5F1B	TF	-0.83	-1.08	-0.36	-0.38	0.22	-0.3	0.45	0.53
ENSG00000213988	ZNF90	TF	0.77	0.78	-0.06	0.1	0.8	0.87	0.68	0.5
ENSG00000215612	HMX1	TF	0.69	0.44	0.81	0.39	0.55	0.27	0.75	1.12
ENSG00000233608	TWIST2	TF	0.68	0.72	-2.17	0.02	-0.81	-1.4	-0.28	-1.13
ENSG00000244405	ETV5	TF	0.49	0.6	-0.55	-0.01	0.41	0.35	-0.22	-0.51
ENSG00000251493	FOXD1	TF	0.88	0.65	-0.33	0.01	0.64	0.91	0.85	1.2
ENSG00000260027	HOXB7	TF	0.27	-0.41	-0.24	-0.31	0.8	0.44	0.86	0.98
ENSG00000260027	ENSG00000260027	TF	0.27	-0.41	-0.24	-0.31	0.8	0.44	0.86	0.98
ENSG00000265763	ZNF488	TF	-0.55	-0.47	0.62	0.13	0.49	0.38	0.2	0.41
ENSG00000269404	SPIB	TF	0.23	0.29	0.69	0.2	0.76	0.76	0.48	0.65
ENSG00000273706	LHX1	TF	0.57	0.39	0.74	0.41	0.77	0.84	0.79	1.1
ENSG00000273802	HIST1H2BG	TF	0.03	-3.1	-0.1	-0.11	0.17	-1.32	0.82	0.98
ENSG00000019485	PRDM11	EF	0.72	0.69	-0.22	0.34	-0.02	0.19	-0.84	-0.85
ENSG00000085999	RAD54L	EF	0.78	0.38	0.77	0.76	0.6	0.18	0.73	0.86
ENSG00000087586	AURKA	EF	0.82	0.75	0.75	0.76	0.6	0.77	0.29	0.42
ENSG00000094804	CDC6	EF	0.75	0.24	0.46	0.2	0.47	-0.36	0.78	0.87
ENSG00000099954	CECR2	EF	0.41	-0.01	0.28	0.33	0.48	0.24	0.59	0.63
ENSG00000101493	ZNF516	EF	0.66	0.75	-0.43	0.49	-1.33	-0.82	-1.8	-1.53
ENSG00000104313	EYA1	EF	0.65	0.62	-0.16	0.43	-1.79	-1.22	-0.89	-1.29
ENSG00000105011	ASF1B	EF	0.8	0.82	0.75	0.62	0.59	0.59	0.65	0.83
ENSG00000111732	AICDA	EF	0.65	0.37	0.51	0.54	0.73	1.01	0.94	1.13
ENSG00000112742	TTK	EF	0.34	-0.38	0.7	0.35	0.33	0.08	0.33	0.74
ENSG00000115592	PRKAG3	EF	-2.98	-1.06	0.67	0.26	-1.21	0.71	0.53	0.02
ENSG00000122966	CIT	EF	0.73	0.5	0.72	0.64	0.66	0.87	0.33	0.36
ENSG00000123485	HJURP	EF	0.81	0.62	0.74	0.48	0.57	0.37	0.74	1.08
ENSG00000124701	APOBEC2	EF	-1.11	0.44	0.69	0.56	-1.26	-0.02	0.55	0.25
ENSG00000128383	APOBEC3A	EF	-1.51	-0.03	0.72	-0.09	0.48	0.7	0.36	0.96
ENSG00000128394	APOBEC3F	EF	-0.28	-0.94	-0.83	-0.29	0.8	0.52	0.38	0.21
ENSG00000131747	TOP2A	EF	0.8	0.88	0.77	0.74	0.6	0.31	0.72	0.97
ENSG00000134627	PIWIL4	EF	0.75	0.89	-0.08	0.06	0.9	0.92	0.82	0.47
ENSG00000136014	USP44	EF	-1	-3	-0.7	-0.74	0.96	0.8	0.18	0.05
ENSG00000141431	ASXL3	EF	0.45	0.44	0.41	0.39	-1.91	-1.98	-2.98	-2.2
ENSG00000142619	PADI3	EF	-1.08	-0.22	0.72	0.31	0.76	0.88	0.85	1.18
ENSG00000142623	PADI1	EF	-0.69	-0.91	-0.02	-0.64	0.65	0.51	0.97	1.2
ENSG00000143401	ANP32E	EF	-0.79	-0.65	0.63	0.44	-0.54	-0.24	-0.97	-1.14
ENSG00000154229	PRKCA	EF	0.17	0.64	0.71	0.48	-1.31	-0.85	-0.59	-1.41
ENSG00000166349	RAG1	EF	0.08	0.71	-1.2	-0.87	0.88	0.89	1.02	0.79
ENSG00000166501	PRKCB	EF	0.58	0.92	0.67	0.62	-1.75	-1.92	-0.59	-1.42
ENSG00000168078	PBK	EF	0.8	0.8	0.58	0.4	0.56	0.49	0.83	1.09
ENSG00000169679	BUB1	EF	0.8	0.12	0.76	0.73	0.65	0.33	0.75	0.84
ENSG00000170312	CDK1	EF	0.71	0.62	0.71	0.74	0.39	0.33	0.43	0.73
ENSG00000178568	ERBB4	EF	0.81	0.17	0.15	0.01	0.9	0.87	1.01	1.01
ENSG00000178999	AURKB	EF	0.81	0.84	0.46	0.28	0.53	0.03	0.86	1.07
ENSG00000184828	ZBTB7C	EF	-1.97	-1.37	-0.45	-1.54	0.67	0.89	0.59	0.72
ENSG00000239713	APOBEC3G	EF	-0.39	-0.79	-1.8	-1.81	0.94	0.98	1	0.75
ENSG00000243811	APOBEC3D	EF	-1.66	-1.9	-0.47	-0.91	0.62	0.64	-0.04	0.23
ENSG00000244509	APOBEC3C	EF	-0.53	-0.26	-0.64	-0.74	0.96	0.69	0.06	-0.08
ENSG00000006534	ENSG00000006534	lncRNA	-0.09	0.27	-2.21	-0.03	0.76	0.86	-0.08	-0.4
ENSG00000012171	ENSG00000012171	lncRNA	0.27	0.59	0.37	0.31	-1.94	-1.77	-1.84	-1.85
ENSG00000099869	ENSG00000099869	lncRNA	-2.63	-2.89	0.68	0.05	-0.41	-0.81	0.23	-0.68
ENSG00000130600	ENSG00000130600	lncRNA	-1.21	-0.77	0.68	0.23	-0.17	-0.25	0.25	-0.01
ENSG00000132204	ENSG00000132204	lncRNA	0.37	-1.45	0.72	0.31	0.5	-0.11	0.63	0.62
ENSG00000135253	ENSG00000135253	lncRNA	0.72	0.87	-0.79	0.02	0.71	0.52	1.03	1
ENSG00000144596	ENSG00000144596	lncRNA	0.18	0.55	0.59	0.31	-0.53	0.19	-0.99	-0.81
ENSG00000161103	ENSG00000161103	lncRNA	-0.04	-0.2	-0.25	0.15	0.62	0.74	-0.35	-0.17
ENSG00000163364	ENSG00000163364	lncRNA	0.36	0.58	0.53	0.13	0.74	0.29	0.88	0.99
ENSG00000166707	ENSG00000166707	lncRNA	0.48	0.74	-0.06	0.28	-1.99	-0.8	-1.73	-1.99
ENSG00000167355	ENSG00000167355	lncRNA	0.75	0.27	0.69	0.32	-0.28	-1.34	0.29	0.56
ENSG00000171889	ENSG00000171889	lncRNA	-2	-1.49	-2.64	-0.25	0.31	0.37	0.77	0.65
ENSG00000173811	ENSG00000173811	lncRNA	-0.39	-0.85	0.62	0.29	-0.39	-0.29	-0.76	-1.18
ENSG00000174171	ENSG00000174171	lncRNA	0.46	0.05	0.56	0.22	0.25	0.35	0.44	0.62
ENSG00000174403	ENSG00000174403	lncRNA	0.82	0.91	-0.94	0.26	-2.71	-3.23	-1.74	-2.44
ENSG00000175147	ENSG00000175147	lncRNA	0.23	0.81	-0.12	0.1	0.73	0.66	-0.38	-0.49
ENSG00000175699	ENSG00000175699	lncRNA	-4.97	-1.29	0.4	-0.19	-2.09	0.36	0.39	-0.18
ENSG00000177133	ENSG00000177133	lncRNA	0.47	0.38	-2.35	-0.46	0.7	-2.06	1.1	0.84
ENSG00000177822	ENSG00000177822	lncRNA	-0.11	0.23	-0.82	0	-3.1	-2.19	-4.7	-2.44
ENSG00000178457	ENSG00000178457	lncRNA	-0.42	0.8	0.73	0.21	-1.98	0.69	0.49	0
ENSG00000179447	ENSG00000179447	lncRNA	-0.26	-0.4	0.65	0.21	0.22	-0.38	-0.03	-0.31
ENSG00000180139	ENSG00000180139	lncRNA	0.29	0.42	-0.88	0.16	-2.8	-4.25	-1.95	-2.52
ENSG00000180422	ENSG00000180422	lncRNA	0.51	0.25	-0.66	0.2	0.07	0.47	-0.53	-0.73
ENSG00000180458	ENSG00000180458	lncRNA	0.55	0.1	-0.07	0.12	0.53	0.82	0.84	0.79
ENSG00000183566	ENSG00000183566	lncRNA	0.39	0.58	0.34	0.25	0.76	0.96	0.29	0.52
ENSG00000184856	ENSG00000184856	lncRNA	0.73	0.08	0.73	0.3	0.7	0.34	0.43	0.7
ENSG00000185168	ENSG00000185168	lncRNA	0.67	0.58	0.51	0.28	0.55	0.58	0.36	0.37
ENSG00000185186	ENSG00000185186	lncRNA	0.61	0.75	0.64	0.3	0.64	0.79	0.67	0.78
ENSG00000185433	ENSG00000185433	lncRNA	0.2	-0.86	0.59	0.1	0.63	0.79	0.81	0.87
ENSG00000185847	ENSG00000185847	lncRNA	-4.05	-4.14	0.55	0.03	-2.12	-0.69	0.43	-0.09
ENSG00000185904	ENSG00000185904	lncRNA	0.35	0.75	0.51	0.07	0.72	0.44	0.86	0.92
ENSG00000186369	ENSG00000186369	lncRNA	-0.38	-0.43	0.63	0.24	-1.36	-1.16	0.48	-0.31
ENSG00000186526	ENSG00000186526	lncRNA	0.75	0.6	0.63	0.22	0.73	0.13	0.87	1.06
ENSG00000186594	ENSG00000186594	lncRNA	0.7	0.73	0.31	0.2	0.63	0.85	0.44	0.32
ENSG00000188338	ENSG00000188338	lncRNA	0.32	0.67	-0.17	0.02	0.79	0.39	0.83	0.51
ENSG00000189229	ENSG00000189229	lncRNA	0.75	0.81	0.52	0.2	0.39	0.6	0.19	0.3
ENSG00000189316	ENSG00000189316	lncRNA	0.75	0.38	0.68	0.31	0.73	0.8	0.44	0.19
ENSG00000196972	ENSG00000196972	lncRNA	0.57	0.65	-0.31	0.2	0.64	0.79	-0.59	-0.73
ENSG00000197308	ENSG00000197308	lncRNA	0.35	-0.67	-3.06	-0.34	0.66	0.26	1.12	1.09
ENSG00000198491	ENSG00000198491	lncRNA	-0.56	-0.08	0.66	0.23	-0.28	-0.19	0.16	-0.67
ENSG00000203266	ENSG00000203266	lncRNA	0.65	0.88	-0.52	0.26	0.17	0.16	0.78	0.31
ENSG00000203499	ENSG00000203499	lncRNA	-0.38	-1.43	0.27	0.09	-0.57	-1.23	0.21	0.38
ENSG00000203601	ENSG00000203601	lncRNA	0.67	0.62	0.68	0.31	0.47	0.68	0.5	0.58
ENSG00000203635	ENSG00000203635	lncRNA	0.37	-0.21	-0.09	0.05	0.09	-0.44	0.7	0.88
ENSG00000203706	ENSG00000203706	lncRNA	-0.32	0.65	-0.26	0.18	0.55	0.95	-0.46	-0.53
ENSG00000203808	ENSG00000203808	lncRNA	-0.84	-0.69	-3.85	-0.72	-3.13	-4.08	-2.86	-2.94
ENSG00000204011	ENSG00000204011	lncRNA	-0.83	-0.36	0.67	0.31	0.69	0.92	0.35	0.37
ENSG00000204044	ENSG00000204044	lncRNA	0.27	0.6	-0.75	-0.06	0.75	0.89	-0.49	-0.27
ENSG00000204241	ENSG00000204241	lncRNA	0.7	0.76	-0.37	0.22	0.25	-0.3	-0.31	-0.83
ENSG00000204250	ENSG00000204250	lncRNA	0.46	-0.25	0.72	0.28	0.33	0.24	0.72	0.98
ENSG00000204362	ENSG00000204362	lncRNA	-0.92	-1.3	0.31	0.11	0.37	0.3	0.53	0.92
ENSG00000204528	ENSG00000204528	lncRNA	-0.74	0.05	-0.21	-0.07	0.76	0.43	0.9	0.93
ENSG00000204583	ENSG00000204583	lncRNA	0.5	0.48	-2.83	-0.14	0.73	0.76	1.05	0.59
ENSG00000204666	ENSG00000204666	lncRNA	0.71	0.24	0.45	0.33	0.48	0.71	0.8	0.78
ENSG00000204832	ENSG00000204832	lncRNA	0.57	0.24	-0.4	0.15	0.52	0.79	0.97	1.02
ENSG00000204949	ENSG00000204949	lncRNA	0.71	-1.75	0.67	0.21	0.5	-1.35	0.76	1.08
ENSG00000205056	ENSG00000205056	lncRNA	0.67	0.69	0.43	0.32	0.05	0.13	-0.12	-0.57
ENSG00000205181	ENSG00000205181	lncRNA	0.79	0.85	0.14	0.31	-2.21	-1.65	-1.04	-1.76
ENSG00000205562	ENSG00000205562	lncRNA	0.51	0.77	0.39	0.29	-2.39	-0.6	-1.2	-1.53
ENSG00000205611	ENSG00000205611	lncRNA	0.74	0.41	-0.07	0.3	0.5	-0.26	-0.27	-0.61
ENSG00000205622	ENSG00000205622	lncRNA	-1.83	0.25	0.12	0.05	0.32	0.7	0.53	0.65
ENSG00000205628	ENSG00000205628	lncRNA	0.73	0.44	0.75	0.32	0.67	0.78	0.59	0.73
ENSG00000205632	ENSG00000205632	lncRNA	-0.61	-4.12	0.66	0.24	-0.21	-1.3	0.3	0.71
ENSG00000205634	ENSG00000205634	lncRNA	0.78	0.88	0.32	0.2	0.36	-0.31	0.73	1.12
ENSG00000205861	ENSG00000205861	lncRNA	0.76	0.45	0.59	0.3	0.69	0.82	-0.11	0.06
ENSG00000206129	ENSG00000206129	lncRNA	-0.02	0.72	-0.3	0.2	0.63	0.77	0.43	0.28
ENSG00000212766	ENSG00000212766	lncRNA	0.49	0.63	-0.02	0.11	0.55	0.58	-0.58	-0.66
ENSG00000212939	ENSG00000212939	lncRNA	-0.21	-0.13	0.29	0.23	0.27	-0.12	0.58	0.82
ENSG00000213468	ENSG00000213468	lncRNA	0.57	0.74	0.02	0.23	0.29	0.87	0.64	0.64
ENSG00000213963	ENSG00000213963	lncRNA	0.82	0.87	0.64	0.31	-1.41	-0.2	-1.67	-1.72
ENSG00000213981	ENSG00000213981	lncRNA	0.81	0.63	0.57	0.31	0.6	0.8	-0.14	-0.13
ENSG00000214039	ENSG00000214039	lncRNA	0.84	0.62	0.73	0.32	0.46	0.43	0.35	0.45
ENSG00000214548	ENSG00000214548	lncRNA	0.16	0.48	-0.92	-0.04	0.65	0.83	0.76	0.58
ENSG00000214797	ENSG00000214797	lncRNA	-0.63	0.12	0.47	0.16	0.32	0.44	0.63	0.85
ENSG00000214894	ENSG00000214894	lncRNA	0.76	0.65	0.63	0.26	0.44	-0.24	0.15	0.35
ENSG00000214922	ENSG00000214922	lncRNA	0.66	0.36	-1.29	0.18	0.33	0.48	-0.52	-0.92
ENSG00000215241	ENSG00000215241	lncRNA	-0.5	0.26	-1.36	-0.07	0.67	0.74	0.14	0.04
ENSG00000215246	ENSG00000215246	lncRNA	0.44	0.33	0.57	0.27	-0.96	-0.72	-0.84	-1.16
ENSG00000215841	ENSG00000215841	lncRNA	-0.94	-0.22	0.39	0.3	0.4	0.62	0.1	0.26
ENSG00000216863	ENSG00000216863	lncRNA	0.46	-0.36	0.6	0.28	0.8	0.7	0.58	0.53
ENSG00000218018	ENSG00000218018	lncRNA	0.32	0.79	0.41	0.23	-1.59	0.44	-2.22	-1.86
ENSG00000220908	ENSG00000220908	lncRNA	0.67	0.71	0.48	0.3	0.53	0.88	0.35	0.66
ENSG00000222030	ENSG00000222030	lncRNA	0.63	-0.19	0.74	0.29	0.43	0.06	0.83	1.08
ENSG00000223382	ENSG00000223382	lncRNA	0.13	0.77	0.03	0.04	-3.45	-3.18	-3.5	-3.11
ENSG00000223400	ENSG00000223400	lncRNA	0.61	0.61	0.31	0.1	0.37	0.5	0.32	0.65
ENSG00000223403	ENSG00000223403	lncRNA	0.59	0.67	0.14	0.28	0.59	0.85	0.63	0.5
ENSG00000223414	ENSG00000223414	lncRNA	0.63	0.61	0.67	0.29	0.63	0.82	0.26	0.48
ENSG00000223502	ENSG00000223502	lncRNA	-0.89	-0.51	0.2	0.25	0.71	0.74	-0.46	-0.28
ENSG00000223523	ENSG00000223523	lncRNA	0.48	0.38	0.69	0.28	0.78	0.67	0.86	1.02
ENSG00000223548	ENSG00000223548	lncRNA	0.64	-0.08	0.57	0.31	0.7	0.37	0.88	0.99
ENSG00000223561	ENSG00000223561	lncRNA	-0.4	0.48	-1.18	-0.6	0.8	-0.44	0.87	1.01
ENSG00000223563	ENSG00000223563	lncRNA	-0.08	0.36	0.68	0.01	-0.31	0.3	-0.03	-0.55
ENSG00000223652	ENSG00000223652	lncRNA	0.3	-0.15	-1.81	0.15	-3.09	-2.7	-4.77	-2.79
ENSG00000223701	ENSG00000223701	lncRNA	0.57	0.55	0.57	0.28	0.04	-0.13	-0.46	-0.74
ENSG00000223764	ENSG00000223764	lncRNA	0.26	0.82	-1.69	0.04	0.7	0.77	0.73	0.3
ENSG00000223774	ENSG00000223774	lncRNA	0.32	0.46	0.48	0.22	-3.38	-3.7	-2.58	-2.64
ENSG00000223784	ENSG00000223784	lncRNA	0.73	0.26	0.21	0.3	-1.25	0.54	-0.18	-0.62
ENSG00000223838	ENSG00000223838	lncRNA	0.17	-0.13	-0.37	0.24	0.06	0.39	0.6	0.47
ENSG00000223907	ENSG00000223907	lncRNA	0.45	0.73	-0.99	0.11	0.72	0.84	1.01	1.02
ENSG00000223923	ENSG00000223923	lncRNA	0.01	0.26	0.44	0.22	0.69	0.71	-0.64	-0.75
ENSG00000223930	ENSG00000223930	lncRNA	0.61	0.29	0.6	0.29	0.57	0.61	0.41	0.13
ENSG00000223956	ENSG00000223956	lncRNA	0.11	-0.1	-0.48	0.11	0.2	-0.05	0.26	0.46
ENSG00000224020	ENSG00000224020	lncRNA	0.77	0.83	0.61	0.29	0.71	0.73	-0.45	-0.37
ENSG00000224141	ENSG00000224141	lncRNA	0.7	0.2	0.74	0.31	0.73	0.78	0.79	0.95
ENSG00000224223	ENSG00000224223	lncRNA	-0.12	0.7	0.7	0.13	-2.67	-0.7	0.11	-0.87
ENSG00000224259	ENSG00000224259	lncRNA	-0.3	-0.62	0.35	0.19	0.02	0.17	0.16	0.41
ENSG00000224269	ENSG00000224269	lncRNA	0.69	0.7	0.32	0.32	-0.05	0.55	0.13	0.7
ENSG00000224271	ENSG00000224271	lncRNA	1	0.08	-0.79	0.13	0.38	0.95	0.9	1.1
ENSG00000224307	ENSG00000224307	lncRNA	-1.27	-1.66	-1.65	-0.1	0.28	0.01	0.11	0.07
ENSG00000224326	ENSG00000224326	lncRNA	-0.56	0.07	0	0.1	0.44	0.67	0.39	0.84
ENSG00000224330	ENSG00000224330	lncRNA	0.67	0.47	0.56	0.31	0.72	0.56	0.88	0.92
ENSG00000224371	ENSG00000224371	lncRNA	0.25	0.44	0.6	0.32	0.01	0.04	0.1	0.42
ENSG00000224478	ENSG00000224478	lncRNA	0.75	0.71	-0.3	0.21	0.69	0.86	0.96	0.86
ENSG00000224511	ENSG00000224511	lncRNA	0	-0.21	0.73	0.25	0.08	-0.34	0.23	0.45
ENSG00000224513	ENSG00000224513	lncRNA	0.34	-0.06	-0.66	0.04	-1.79	-1.61	-2.2	-1.93
ENSG00000224559	ENSG00000224559	lncRNA	0.67	0.83	0.49	0.3	0.72	0.76	0.71	0.41
ENSG00000224592	ENSG00000224592	lncRNA	0.25	0.4	0.69	0.29	0.77	0.42	0.18	-0.1
ENSG00000224595	ENSG00000224595	lncRNA	0.79	0.79	0.75	-7.7	0.75	0.88	1.15	-0.3
ENSG00000224614	ENSG00000224614	lncRNA	-1.49	-3.39	0.3	-0.01	-0.17	-0.55	-0.08	0.24
ENSG00000224621	ENSG00000224621	lncRNA	-0.35	-1.5	-0.67	0.09	0.19	-0.23	0.73	0.87
ENSG00000224652	ENSG00000224652	lncRNA	-3.03	-2.2	0.08	-0.04	-0.44	0.29	-0.3	-0.07
ENSG00000224713	ENSG00000224713	lncRNA	0.16	0.66	0.49	0.18	-1.19	-0.79	-1.21	-1.58
ENSG00000224717	ENSG00000224717	lncRNA	-0.13	-1.2	0.7	0.2	-0.46	-1.4	0.29	-0.32
ENSG00000224746	ENSG00000224746	lncRNA	0.82	0.21	0.75	0.26	0.21	-0.34	0.37	0.67
ENSG00000224750	ENSG00000224750	lncRNA	0.15	0.16	0.52	0.27	0.17	0.21	0.29	0.79
ENSG00000224805	ENSG00000224805	lncRNA	-0.07	0	-0.33	-0.05	-0.53	-0.51	0.25	0.4
ENSG00000224814	ENSG00000224814	lncRNA	0.76	0.72	0.74	0.31	0.57	0.61	0.83	1.02
ENSG00000224853	ENSG00000224853	lncRNA	-1.14	-0.61	0.72	0.29	0.43	0.34	0.47	0.72
ENSG00000224899	ENSG00000224899	lncRNA	0.61	0.1	0.67	0.3	0.63	0.69	0.24	0.58
ENSG00000224958	ENSG00000224958	lncRNA	0.7	0.83	0.31	0.26	-2.32	-1.89	-3.34	-2.21
ENSG00000224970	ENSG00000224970	lncRNA	0.59	-0.3	0.61	0.31	0.41	0.36	0.46	0.96
ENSG00000224984	ENSG00000224984	lncRNA	-0.66	0.1	0.2	0.29	0.55	0.58	-0.16	-0.02
ENSG00000224995	ENSG00000224995	lncRNA	0.18	-0.62	0.16	0.05	0.02	-1.17	0.61	1.1
ENSG00000225057	ENSG00000225057	lncRNA	0.39	-1.39	0.01	0.06	0.57	0.12	0.83	0.99
ENSG00000225064	ENSG00000225064	lncRNA	-0.2	-0.12	0.19	-0.02	0.32	0.5	-0.19	-0.26
ENSG00000225173	ENSG00000225173	lncRNA	-0.8	-0.25	-0.95	0.07	0.39	0.58	0.37	0.26
ENSG00000225194	ENSG00000225194	lncRNA	0	0.67	-1.49	0.04	0.69	0.54	-0.03	-0.34
ENSG00000225208	ENSG00000225208	lncRNA	-1.37	0.28	-3.44	-0.3	-1.08	0.3	-2.75	-1.07
ENSG00000225328	ENSG00000225328	lncRNA	0.74	0.64	0.85	0.28	0.23	0.37	0.19	0.53
ENSG00000225334	ENSG00000225334	lncRNA	0.56	0.52	0.66	0.31	0.76	0.91	0	0.32
ENSG00000225342	ENSG00000225342	lncRNA	0.48	0.65	0.6	0.29	-0.06	0.32	-1.08	-1.14
ENSG00000225376	ENSG00000225376	lncRNA	-0.76	0.43	0.65	0.3	0.55	0.82	0.3	0.39
ENSG00000225383	ENSG00000225383	lncRNA	0.7	0.77	-0.12	0.2	0.65	0.69	0.74	0.69
ENSG00000225431	ENSG00000225431	lncRNA	-0.62	-0.99	0.39	0.17	0.63	0.84	0.35	0.31
ENSG00000225434	ENSG00000225434	lncRNA	0.39	0.51	0.66	0.26	0.59	0.8	-0.22	-0.32
ENSG00000225439	ENSG00000225439	lncRNA	0.19	0.04	-0.51	0.29	-2.32	-1.25	-2.1	-2.15
ENSG00000225472	ENSG00000225472	lncRNA	0.28	0.63	-1.29	-0.08	0.66	-0.63	0.82	0.23
ENSG00000225489	ENSG00000225489	lncRNA	-0.8	-0.47	0.76	0.31	-0.59	-1.85	0.02	0.32
ENSG00000225490	ENSG00000225490	lncRNA	0.73	0.57	0.11	0.29	0.54	0.6	-0.47	-0.7
ENSG00000225511	ENSG00000225511	lncRNA	0.79	0.86	0.44	0.29	0.51	0.44	-0.38	-0.54
ENSG00000225532	ENSG00000225532	lncRNA	0.5	0.13	0.69	0.13	-0.12	-0.19	0.56	0.91
ENSG00000225595	ENSG00000225595	lncRNA	-0.49	0.34	0.36	0.19	0.55	0.58	0.7	0.71
ENSG00000225606	ENSG00000225606	lncRNA	0.72	0.64	0.74	0.31	0.68	0.89	0.37	0.47
ENSG00000225637	ENSG00000225637	lncRNA	-1.23	-0.37	0.59	0.25	0.67	0.74	0.27	0.34
ENSG00000225647	ENSG00000225647	lncRNA	0.78	-0.04	0.76	0.32	0.67	0.54	0.17	0.51
ENSG00000225652	ENSG00000225652	lncRNA	0.39	0.44	0.67	0.31	0.67	0.82	-0.15	0.14
ENSG00000225680	ENSG00000225680	lncRNA	0.6	-0.35	0.44	0.31	0.47	0.77	0.27	0.78
ENSG00000225746	ENSG00000225746	lncRNA	0.75	0.73	0.34	0.27	0.69	0.81	-0.28	-0.4
ENSG00000225778	ENSG00000225778	lncRNA	-0.21	-0.41	0.46	0.21	-2.47	-2.19	-1.67	-2.07
ENSG00000225790	ENSG00000225790	lncRNA	-0.17	0.39	0.26	0.05	0.67	0.98	0.19	0.09
ENSG00000225807	ENSG00000225807	lncRNA	0.55	0.55	0.74	0.28	0.55	0.74	-0.12	0.14
ENSG00000225873	ENSG00000225873	lncRNA	0.59	-0.02	-0.37	0.1	0.7	0.84	0.75	0.51
ENSG00000225937	ENSG00000225937	lncRNA	-0.99	-0.63	-1.75	-0.4	0.53	0.88	0.95	1.02
ENSG00000225986	ENSG00000225986	lncRNA	0.02	0.6	-0.33	-0.04	-2.71	-3.55	-2.53	-2.67
ENSG00000226005	ENSG00000226005	lncRNA	-1.73	-0.63	-1.13	-0.11	0.38	0.64	0.33	0.37
ENSG00000226051	ENSG00000226051	lncRNA	-0.5	0.17	-0.96	-0.22	0.45	0.65	0.61	0.5
ENSG00000226091	ENSG00000226091	lncRNA	-1.02	0.34	-1.99	-0.07	0.74	0.87	-0.07	-0.26
ENSG00000226155	ENSG00000226155	lncRNA	-0.03	-1.66	0.47	0.14	0.01	-0.93	0.39	0.57
ENSG00000226197	ENSG00000226197	lncRNA	0.85	0.48	0.62	0.31	0.57	0.24	-0.2	-0.33
ENSG00000226237	ENSG00000226237	lncRNA	0.21	0.39	-0.21	0.21	0.65	0.68	-0.51	-0.71
ENSG00000226355	ENSG00000226355	lncRNA	-0.23	0.52	0.68	0.19	0.75	0.55	0.74	0.83
ENSG00000226363	ENSG00000226363	lncRNA	0.33	0.19	0.54	0.26	0.7	0.85	0.75	0.66
ENSG00000226367	ENSG00000226367	lncRNA	0.78	0.61	0.23	0.13	0.79	0.89	0.15	0.16
ENSG00000226374	ENSG00000226374	lncRNA	0.64	0.38	-2.95	-0.09	0.58	-0.76	1.02	0.65
ENSG00000226416	ENSG00000226416	lncRNA	0.54	0.09	0.14	0.28	0.51	0.66	0.7	0.49
ENSG00000226440	ENSG00000226440	lncRNA	0.21	0.65	0.4	0.24	-2.63	-1.62	-2.28	-2.29
ENSG00000226508	ENSG00000226508	lncRNA	0.51	0.38	0.35	0.18	0.48	0.83	-0.01	0.16
ENSG00000226530	ENSG00000226530	lncRNA	0.6	0.36	-0.02	0.22	-0.62	-0.66	-0.96	-1.35
ENSG00000226598	ENSG00000226598	lncRNA	0.62	-0.01	0.34	0.27	0.49	0.04	0.91	1.06
ENSG00000226690	ENSG00000226690	lncRNA	0.84	0.64	0.66	0.25	0.36	0.76	0.52	0.92
ENSG00000226733	ENSG00000226733	lncRNA	0.62	0.13	0.74	0.3	0.43	0.07	0.83	1.07
ENSG00000226786	ENSG00000226786	lncRNA	-0.78	-0.19	0.09	0.13	0.71	0.84	-0.03	0.07
ENSG00000226812	ENSG00000226812	lncRNA	0.76	0.43	0.57	0.31	0.46	0.38	0.42	0.87
ENSG00000226816	ENSG00000226816	lncRNA	0.54	0.79	-6.62	-0.01	0.54	-0.32	0.69	-0.15
ENSG00000226825	ENSG00000226825	lncRNA	0.05	-0.82	-0.75	-0.12	-0.48	-1.66	0.66	0.86
ENSG00000226935	ENSG00000226935	lncRNA	0.4	0.54	0.1	0.29	0.63	0.79	0.82	0.65
ENSG00000226954	ENSG00000226954	lncRNA	0.64	0.22	1.05	0.25	0.1	0.07	0.62	0.84
ENSG00000227036	ENSG00000227036	lncRNA	0.45	-0.29	-1.27	-0.14	0.34	-0.78	0.95	0.9
ENSG00000227070	ENSG00000227070	lncRNA	-1.07	-3.94	-0.72	-0.3	-0.18	-0.72	0.49	0.5
ENSG00000227078	ENSG00000227078	lncRNA	0.35	-0.42	0.37	0.28	-0.2	-1.13	0.68	-0.13
ENSG00000227082	ENSG00000227082	lncRNA	0.17	0.74	0.3	0.23	0.44	0.81	0.37	-0.02
ENSG00000227131	ENSG00000227131	lncRNA	0.7	-3.02	0.74	0.28	0.7	-2.29	0.79	0.7
ENSG00000227135	ENSG00000227135	lncRNA	-0.82	-0.37	-0.34	0	0.58	0.66	0.03	0.13
